"X","sample_pair","group","beta_div_method","beta_div_value","time"
425,"241-318","Time 1","bray",0.799614643545279,1
426,"241-323","Time 1","bray",0.814241486068111,1
427,"241-343","Time 1","bray",0.76173285198556,1
428,"241-358","Time 1","bray",0.759358288770054,1
429,"241-359","Time 1","bray",0.762803234501348,1
430,"241-46","Time 1","bray",0.784313725490196,1
431,"241-5","Time 1","bray",0.756906077348066,1
432,"241-96","Time 1","bray",0.771106941838649,1
433,"243-257","Time 1","bray",0.744186046511628,1
434,"243-263","Time 1","bray",0.788732394366197,1
435,"243-269","Time 1","bray",0.811320754716981,1
436,"243-279","Time 1","bray",0.804469273743017,1
437,"243-291","Time 1","bray",0.811320754716981,1
438,"243-295","Time 1","bray",0.783783783783784,1
439,"243-300","Time 1","bray",0.815126050420168,1
440,"243-318","Time 1","bray",0.830985915492958,1
441,"243-323","Time 1","bray",0.685534591194969,1
442,"243-343","Time 1","bray",0.805128205128205,1
443,"243-358","Time 1","bray",0.685714285714286,1
444,"243-359","Time 1","bray",0.758454106280193,1
445,"243-46","Time 1","bray",0.827868852459016,1
446,"243-5","Time 1","bray",0.686868686868687,1
447,"243-96","Time 1","bray",0.826558265582656,1
448,"257-263","Time 1","bray",0.79020979020979,1
449,"257-269","Time 1","bray",0.685436893203883,1
450,"257-279","Time 1","bray",0.641434262948207,1
451,"257-291","Time 1","bray",0.832,1
452,"257-295","Time 1","bray",0.871559633027523,1
453,"257-300","Time 1","bray",0.740518962075848,1
454,"257-318","Time 1","bray",0.711422845691383,1
455,"257-323","Time 1","bray",0.683168316831683,1
456,"257-343","Time 1","bray",0.685393258426966,1
457,"257-358","Time 1","bray",0.598870056497175,1
458,"257-359","Time 1","bray",0.709401709401709,1
459,"257-46","Time 1","bray",0.695876288659794,1
460,"257-5","Time 1","bray",0.660818713450292,1
461,"257-96","Time 1","bray",0.672514619883041,1
462,"263-269","Time 1","bray",0.819548872180451,1
463,"263-279","Time 1","bray",0.792746113989637,1
464,"263-291","Time 1","bray",0.835820895522388,1
465,"263-295","Time 1","bray",0.823529411764706,1
466,"263-300","Time 1","bray",0.755844155844156,1
467,"263-318","Time 1","bray",0.827676240208877,1
468,"263-323","Time 1","bray",0.72192513368984,1
469,"263-343","Time 1","bray",0.799043062200957,1
470,"263-358","Time 1","bray",0.789915966386555,1
471,"263-359","Time 1","bray",0.787234042553192,1
472,"263-46","Time 1","bray",0.86764705882353,1
473,"263-5","Time 1","bray",0.725663716814159,1
474,"263-96","Time 1","bray",0.707808564231738,1
475,"269-279","Time 1","bray",0.626016260162602,1
476,"269-291","Time 1","bray",0.851239669421488,1
477,"269-295","Time 1","bray",0.909365558912387,1
